y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48
2.1917400000000002,1.05734,-0.01034,-0.56994,0.35615,4.0610800000000005,3.62638,0.9477,0.65,-0.63276,0.0007,0.0639,-1.54023,15.772,-0.06062000000000001,-0.08123,-0.9976700000000001,-0.70615,-0.33331,0.4757,-1.5790799999999998,-0.24828000000000003,0.04509,0.02783,-1.31228,-0.05345,3.3990099999999996,-1.5535700000000001,-0.5,-0.61348,4.41247,-0.21543,-0.53067,-0.01037,-0.6993699999999999,-0.4,-0.5,0.47513,-0.55666,2.4241099999999998,-1.98997,-0.375,-0.7935399999999999,0.22241999999999998,-1.9584599999999999,-0.09383999999999999,0.47371,-1.2807,1.54315,2.33105
10.55386,2.07057,0.05039,0.0,1.07677,3.42176,3.36438,-0.40571,0.58536,-0.6512,-0.018019999999999998,-0.5,1.24997,13.61762,-0.25167,-0.14079,0.60769,-0.66137,1.0,-1.57358,2.7027200000000002,1.0919299999999998,0.12172999999999999,-0.0548,-1.37994,-0.13388,3.2246599999999996,-1.43383,5.5,-1.1969,4.12865,0.56003,-0.6735,-0.5207,0.8705200000000001,11.0,0.24377,1.00795,-0.28213,0.61768,-1.9892599999999998,0.44,-0.7334,-0.33295,-2.1964200000000003,-0.012190000000000001,0.38474,-1.7986099999999998,1.96635,1.02199
3.8804300000000005,1.81194,0.05512,-0.09283999999999999,0.07036,2.89478,1.91713,1.08741,0.53659,-0.7354,0.00588,0.5,1.44897,16.78642,-0.2308,-0.18483,1.89104,-2.51442,1.0,-1.55069,3.72396,0.35269,0.30449,-0.09933,-0.85106,-0.17765,2.55158,0.61868,-4.0,-1.49195,3.2586,-3.0697200000000002,-0.6735300000000001,13.58394,-2.11995,0.8,0.5,6.00761,-4.44815,0.79009,-14.29621,0.5352100000000001,-2.96619,1.0,-3.11452,0.13025,0.57901,-2.0971599999999997,6.95982,-5.64109
1.3406799999999999,-4.68532,0.0509,0.0,-0.40149,-1.15401,-2.73465,0.49498000000000003,0.47561000000000003,-0.7348399999999999,-0.055760000000000004,0.5,-3.04218,15.895470000000001,-0.19593,-0.18254,-0.85088,-1.42059,-1.0,1.52626,3.8096099999999997,0.24205,-0.34949,0.02922,-0.76017,-0.10529000000000001,-2.77641,-1.32682,1.5,-1.3262200000000002,-3.33986,-0.62425,-0.6733600000000001,1.21245,-3.22946,-2.4,-0.5,0.8973700000000001,2.30877,0.92729,-0.99208,0.625,-1.3948399999999999,0.30052,-4.36276,0.5,0.5001800000000001,-3.4186400000000003,9.19427,2.56683
3.15311,-5.26069,-0.04098,0.48873999999999995,1.1185100000000001,-1.23625,-2.79822,0.22783,1.0,-0.73498,-0.16275,-0.5,-0.81689,19.84968,-0.17254,-0.19607,0.8865700000000001,-0.76873,-1.0,-0.34299,3.46485,1.26855,-0.9938799999999999,0.07102,0.62951,-0.12301,-3.5898199999999996,-0.6691699999999999,-1.0,-1.26552,-4.68931,0.7076100000000001,0.32661,-1.9437900000000001,-0.9973799999999999,-0.8,0.45268,0.23240999999999998,2.5015,3.33035,-0.19837,0.38272,0.78584,-0.22255999999999998,-3.73806,0.35259,5.9999999999999995e-05,-2.0153,0.47891999999999996,-2.8813400000000002
-6.12412,-5.24121,-0.00983,-0.033030000000000004,-0.05649,-1.47743,-2.82232,0.36049000000000003,1.0,-0.63343,-0.1275,0.46171,-1.31562,17.32217,-0.06491,-0.25126,0.71633,-1.08429,1.0,-1.19449,3.8856300000000004,-0.048760000000000005,-0.6096600000000001,0.10580999999999999,0.73145,-0.17998,-3.47776,0.21211999999999998,1.5,-1.14478,-5.11267,-0.8990799999999999,0.42863,-0.05148,-0.49946999999999997,1.2,0.48693000000000003,2.45865,-0.38292,0.12633,-4.95491,0.053329999999999995,-1.61745,0.88813,-3.6703300000000003,0.26509,-0.22225999999999999,-1.7497200000000002,-1.09677,-3.97149
2.82318,-4.516430000000001,-0.0162,0.3217,2.37253,-1.49075,-2.4827,-4.22925,1.0,-0.55211,-0.01863,-0.5,2.65678,18.12517,0.07755,-0.24523000000000003,-1.4727299999999999,1.87296,0.79311,2.68149,4.2910699999999995,0.8909100000000001,-0.1627,0.09727000000000001,0.80437,-0.18774000000000002,-3.40023,-0.43325,-5.0,-0.4669,-5.283930000000001,3.0548,0.53075,-17.04061,-0.644,-6.8,-0.5,-4.21173,3.3973400000000002,3.72519,5.75534,-0.18584,2.4694,-0.77774,-3.22708,0.15619,-0.05559,-0.48111000000000004,-1.46119,2.4354
-0.3213,-3.5699699999999996,-0.04977,0.0,-0.53055,-1.6408099999999999,-1.9388900000000002,1.6663700000000001,0.37501,0.4682,-0.01081,0.5,1.15055,10.92587,0.16976,-0.22601999999999997,1.24348,-1.4539,1.0,-1.8246200000000001,4.26048,-0.33771999999999996,0.024990000000000002,0.11489,0.8760600000000001,-0.15802,-2.5371,-1.7210400000000001,6.0,-0.10859,-4.0334699999999994,-1.0340200000000002,0.55116,4.1322,2.14341,2.6,0.49986,1.8,-2.41007,3.18398,-3.17397,0.66071,-1.5810600000000001,0.8893200000000001,-3.5401800000000003,0.49082,0.59267,-2.8902799999999997,6.54464,5.25715
0.03391,-0.8646299999999999,-0.06376,-0.0294,-0.73056,-2.29998,-1.84854,1.2558799999999999,0.37975,0.56982,-0.05587999999999999,0.5,2.31221,14.336089999999999,0.06125,-0.17565,0.36207,-1.4949299999999999,0.46668999999999994,0.15179,3.5336,-0.74282,-0.42388000000000003,0.20242000000000002,0.86266,-0.08507999999999999,-1.7967400000000002,-0.89779,7.5,0.2001,-2.10622,-1.7569700000000001,0.5511199999999999,6.5861,0.9117700000000001,-4.2,0.19847,1.39039,-1.5333,6.30386,-5.3558699999999995,-0.06316000000000001,-1.82613,0.66638,-3.2726599999999997,0.22738000000000003,0.59268,-1.60061,-0.12598,1.11395
1.0242799999999999,1.32342,0.02537,0.01209,-0.72238,-2.3033799999999998,-1.44892,-0.12515,0.37975,0.56977,-0.03327,0.3692,2.1011900000000003,12.40963,0.24224,-0.09527999999999999,0.8904799999999999,-1.3645200000000002,1.0,-0.4388,1.11081,-0.07856,-0.36544,0.26638,0.7660899999999999,0.00251,-1.73438,-1.70861,4.0,0.66676,-1.1388,-0.2671,0.55113,-0.24493,0.87484,-3.6,0.3709,-0.29873,-0.55707,4.79324,1.98432,-0.27631999999999995,-0.46607,0.5557300000000001,-3.77455,0.43443999999999994,0.45848999999999995,-2.46093,2.0182700000000002,2.82817
